"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.150991389E2,6.500480830E1,2.547407509E1,7.948928642E0,0.000000000E0,NaN,4.494587898E0,2.638547659E0
1.160993653E2,6.500480740E1,2.547408420E1,7.389176146E0,6.999999881E-1,8.130000305E1,4.648661613E0,2.899470568E0
1.170993895E2,6.500480847E1,2.547410892E1,8.470170981E0,1.070000052E0,7.259999847E1,4.772316933E0,3.124223948E0
1.180985568E2,6.500481630E1,2.547412929E1,7.593887604E0,1.340000033E0,4.920000076E1,4.860872269E0,3.208540440E0
1.190987507E2,6.500482736E1,2.547414448E1,7.451977680E0,1.139999986E0,4.020000076E1,5.017253876E0,3.304175377E0
1.200989555E2,6.500483669E1,2.547415607E1,8.086374329E0,8.000000119E-1,2.489999962E1,5.105056763E0,3.488701820E0
1.210991516E2,6.500484825E1,2.547416958E1,8.287115478E0,1.169999957E0,1.569999981E1,5.537460327E0,3.803648233E0
1.220992305E2,6.500486118E1,2.547418317E1,8.503359046E0,1.179999948E0,2.279999924E1,6.488976955E0,4.276981354E0
1.230990155E2,6.500487343E1,2.547418620E1,8.168454732E0,1.000000000E0,9.000000000E0,7.319500446E0,4.601778030E0
1.240991595E2,6.500488607E1,2.547418846E1,8.344231375E0,1.200000048E0,6.199999809E0,6.714990139E0,4.801385880E0
1.250994368E2,6.500489793E1,2.547419726E1,6.926441836E0,8.999999762E-1,6.599999905E0,6.250998974E0,4.664499283E0
1.260992911E2,6.500491221E1,2.547420326E1,6.166549156E0,9.900000095E-1,3.591000061E2,6.008019924E0,4.538795471E0
1.270994590E2,6.500492549E1,2.547421224E1,5.971110169E0,1.019999981E0,3.299999952E0,6.207685947E0,4.499147892E0
1.280986972E2,6.500493749E1,2.547424047E1,5.975929248E0,1.139999986E0,2.029999924E1,6.205466270E0,4.474298954E0
1.290987929E2,6.500494998E1,2.547427542E1,6.690343300E0,1.220000029E0,2.989999962E1,6.041729927E0,4.608891010E0
1.300990798E2,6.500496100E1,2.547430580E1,7.516696090E0,1.230000019E0,3.209999847E1,6.883282185E0,5.009433746E0
1.310993349E2,6.500496618E1,2.547433063E1,6.556124448E0,2.899999917E-1,3.509999847E1,6.208922863E0,4.962893009E0
1.320992920E2,6.500497765E1,2.547435610E1,6.403472847E0,1.289999962E0,2.470000076E1,6.737893581E0,5.111399651E0
1.330988756E2,6.500499234E1,2.547437668E1,7.201747457E0,1.330000043E0,2.129999924E1,7.130626202E0,5.129558086E0
1.340986002E2,6.500500633E1,2.547441475E1,7.915550798E0,1.539999962E0,3.050000000E1,7.234761715E0,5.125610352E0
1.350992945E2,6.500501611E1,2.547443111E1,8.151204913E0,1.080000043E0,9.300000191E0,7.855167389E0,5.200275421E0
1.360994548E2,6.500502979E1,2.547441991E1,7.790847489E0,1.389999986E0,3.331000061E2,8.247973442E0,5.373368263E0
1.370985949E2,6.500504105E1,2.547441605E1,8.186106682E0,1.120000005E0,3.386000061E2,7.734347820E0,5.243141174E0
